order_id,member_id,order_date,coupon_id
36482624,71D97E36-CA0B-4C95-8195-65D1291D5793,2017-02-09 16:51,
36482638,2B23EAA3-74F7-4D46-A21B-B787F33F237A,2017-02-09 16:52,103
36482648,9A35783E-D9D9-4923-A0FE-980533E94CED,2017-02-09 16:52,
36482656,34B5EF80-3314-495E-A61E-E60DDB7A3D58,2017-02-09 16:53,103
36482660,B4A7FCAE-4A8C-4D3A-B3EA-AD33E34B7487,2017-02-09 16:53,
36482664,1D98394E-FCA9-4410-84A0-55D91DD8E716,2017-02-09 16:53,
36482669,07B0FEAA-5F5C-4D72-9A7C-7B1E78A70279,2017-02-09 16:53,103
36482674,0786814B-76E9-4D6E-B6D3-9184598030A9,2017-02-09 16:54,
36482696,EFE2BCE3-30CB-4110-9321-FFD018675546,2017-02-09 16:55,103
36482698,2D3171F5-B3FC-4C36-9848-21D75DBA66F9,2017-02-09 16:55,
36482705,F643C936-AE5A-4764-8276-7C7341BAEE8E,2017-02-09 16:55,
36482709,DAB0E264-0011-4AEB-A9BC-4FE43162A6A0,2017-02-09 16:55,103
36482715,64413BC3-0402-40D8-AEFC-154F1A992908,2017-02-09 16:59,103
36482723,97007A5F-2E52-496A-AD9B-C43962823AD2,2017-02-09 16:56,103
36482725,06D67BDF-510F-4157-836F-E3AAFA633EDE,2017-02-09 16:56,103
36482726,AEF3EDF4-F33F-4215-831C-7A1C66CDE65A,2017-02-09 16:56,103
36482735,7E083A9A-6B3A-44BE-A532-45EE0E513EEF,2017-02-09 16:57,103
36482736,AEF3EDF4-F33F-4215-831C-7A1C66CDE65A,2017-02-09 16:56,103
36482743,32F25F59-2EB9-4736-BFA5-C1F5589145FF,2017-02-09 16:56,
36482767,EC04349D-4FEB-4D2F-B227-E5BE58FA30DD,2017-02-09 16:57,
36482771,AD285580-D9DF-4A10-AF67-0BC601EC2B5D,2017-02-09 16:57,
36482775,AB6B9AEF-1E61-42D6-AF43-3C364A15A663,2017-02-09 16:58,103
36482784,7957FA37-6C18-49D5-8FE5-D27AECDC68A0,2017-02-09 16:58,103
36482785,0D4B6C8C-12E2-414C-BF21-1C7FDD956E27,2017-02-09 16:58,103
36482799,C35DE981-E454-47D9-8C93-B6AA30079043,2017-02-09 16:59,103
36482802,2D54DAF3-8D85-42C2-9D4B-F9B1628241EC,2017-02-09 16:59,
36482804,3C10776E-0A94-42DF-BE4A-B394B16F3262,2017-02-09 17:00,103
36482807,81BA1DBE-87DE-493C-96A8-89DBE62F1FAC,2017-02-09 16:59,103
36482831,D39D9636-D02B-494C-8655-D1795BD9B6BF,2017-02-09 17:01,103
36482844,DEAFE63E-F0F1-4ECF-9B81-1CD1A0500095,2017-02-09 17:01,
36482854,BDF77795-A4B6-4DA5-A169-0570486C21E0,2017-02-09 17:02,103
36482867,D030A7FF-0CDB-47A1-850D-A3D1D1FAC2F3,2017-02-09 17:02,103
36482886,853A71AE-960F-417D-9FC4-BE53ABFEF397,2017-02-09 17:02,103
36482899,6AF216D5-1210-4CF3-96D1-39B45A18D1B6,2017-02-09 17:03,103
36482900,97665C1E-5CD1-49BB-99FE-1392AEAEAF88,2017-02-09 17:03,
36482910,06C3B18D-AB70-4C3B-94FB-0EC8C9B4433A,2017-02-09 17:03,103
36482915,28C8AC07-6838-4B3A-A6F2-EAB8D92E4BE4,2017-02-09 17:05,103
36482934,6B832E20-13D4-4D88-8407-428C0B9F2DC7,2017-02-09 17:04,103
36482941,371B267D-C39A-45B5-B64E-8D235165569B,2017-02-09 17:04,
36482955,9DDB7B20-CD97-4A64-941C-F627AB370EB2,2017-02-09 17:05,103
36482961,CFB53605-BD44-49BA-BB88-7C6BB58FAB25,2017-02-09 17:05,103
36482966,F3B8EE19-67B5-4606-A15E-2B50387F0884,2017-02-09 17:05,103
36482982,B879410D-4859-440D-AC6D-13D983DF1D43,2017-02-09 17:05,103
36482989,DC9D5CBC-CCFA-41EF-BB8A-5166E5C66CE8,2017-02-09 17:06,103
