Review_ID,member_id,book_id,review_rating
1,000082D9-E62A-45F3-B885-47668D96660D,170201544,5
2,002326C3-A6BA-498D-B4F8-8D1FAACFB4EB,130600464,4
3,002326C3-A6BA-498D-B4F8-8D1FAACFB4EB,130600465,4
4,002326C3-A6BA-498D-B4F8-8D1FAACFB4EB,141008163,4
5,002326C3-A6BA-498D-B4F8-8D1FAACFB4EB,141008164,4
6,0033E5E1-A950-4253-B154-2A058A49B638,170201216,5
7,005683BD-5677-4A5D-9D9F-EC0F75DFBC9A,170201831,5
8,00676026-9C48-4198-B3F1-303EC7622565,160901022,5
9,00676026-9C48-4198-B3F1-303EC7622565,161205146,5
10,00676026-9C48-4198-B3F1-303EC7622565,170101806,4
11,00806AD8-3ABA-4486-88F3-14309C11884D,140114286,4
12,00921522-6235-4BCD-8C19-6DD6D6A8152D,140306385,5
13,00921522-6235-4BCD-8C19-6DD6D6A8152D,140306386,5
14,00921522-6235-4BCD-8C19-6DD6D6A8152D,140503729,5
15,00A40CDA-F3AF-4194-A4AF-3BE5F8ECB2A0,160303792,5
16,00A40CDA-F3AF-4194-A4AF-3BE5F8ECB2A0,170201831,3
17,00B385AD-7347-4AD3-8D48-B72C88AE72C3,160403043,5
18,00C787F1-D966-45A3-9958-C7C55B270359,140600122,4
19,00C787F1-D966-45A3-9958-C7C55B270359,170108973,5
20,00C787F1-D966-45A3-9958-C7C55B270359,170201216,5
21,00C787F1-D966-45A3-9958-C7C55B270359,170201708,5
22,00ECB55C-41D9-465B-A382-DB1BCD22870D,141004955,5
23,00ECB55C-41D9-465B-A382-DB1BCD22870D,170201216,5
24,00EF1E9B-CE2C-495C-932B-CE67ECDA9B16,170201532,5
25,01161C06-8DD1-4F9E-AE6B-8769411FCF66,130501947,4
26,01161C06-8DD1-4F9E-AE6B-8769411FCF66,161004779,5
27,0152C771-A931-49D3-AD29-74588CCF4B67,140801322,3
28,0152C771-A931-49D3-AD29-74588CCF4B67,170201543,5
29,0152C771-A931-49D3-AD29-74588CCF4B67,170201544,5
30,0152C771-A931-49D3-AD29-74588CCF4B67,170201853,3
31,018788DB-0171-4BF3-8C01-348FBF777660,141102284,1
32,018788DB-0171-4BF3-8C01-348FBF777660,141102285,1
33,018788DB-0171-4BF3-8C01-348FBF777660,141102286,1
34,019EF812-5FE9-4C1E-9EE1-1F672B4BCC6C,160303792,5
35,01A0B650-5973-4B25-B59D-6DCC9AE982F9,141000649,5
36,01E3CD54-ECD8-44F2-8515-2A61B2DF61A1,161205030,5
37,01FB7B39-A44A-4CFA-BAC1-282825A07CB9,150802637,3
38,01FB7B39-A44A-4CFA-BAC1-282825A07CB9,170201831,5
39,02115A19-7B31-4D72-8D79-9508DD0BAB60,130703069,4
40,0247B729-8D94-42C1-BB2E-5B3DBC248C4C,160305275,5
41,0247B729-8D94-42C1-BB2E-5B3DBC248C4C,160813334,1
