book_id,bookgenre,booksalesprice,date_on_market,author_id,publisherid
100003,0,0,12/17/2009,1,1
100009,0,0,12/17/2009,2,2
100011,0,0,12/17/2009,3,3
100014,0,0,12/17/2009,4,4
100015,0,0,12/17/2009,5,5
100018,0,0,12/17/2009,6,6
100031,0,0,12/17/2009,7,7
100032,0,0,12/17/2009,8,8
100033,0,0,12/17/2009,9,9
100035,0,0,12/17/2009,10,10
100036,0,0,12/17/2009,11,11
100042,0,0,5/12/2009,12,12
100044,0,0,12/17/2009,13,13
100047,0,0,12/17/2009,14,14
100048,0,0,12/17/2009,15,15
100050,0,0,12/17/2009,16,16
100056,0,0,12/18/2009,17,17
100060,0,0,12/18/2009,18,18
100063,0,0,12/18/2009,19,19
100067,0,0,12/18/2009,20,20
100081,0,0,12/18/2009,21,21
100084,0,0,12/18/2009,22,22
100086,0,0,12/18/2009,23,23
100087,0,0,12/18/2009,24,24
100089,0,0,12/18/2009,25,25
100090,0,0,12/18/2009,26,26
100094,0,0,12/18/2009,27,27
100096,0,0,12/18/2009,28,28
100097,0,0,12/18/2009,29,29
100098,0,0,12/18/2009,30,30
100101,0,0,12/18/2009,31,31
100105,0,0,12/19/2009,32,32
100107,0,0,12/19/2009,33,33
100108,0,0,12/19/2009,34,34
100114,0,0,12/19/2009,35,35
100117,0,0,12/19/2009,36,36
100118,0,0,12/19/2009,37,37
100119,0,0,12/19/2009,38,38
100123,0,0,12/19/2009,39,39
100126,0,0,12/19/2009,40,40
100127,0,0,12/19/2009,41,41
100130,0,0,12/19/2009,42,42
100133,0,0,12/19/2009,43,43
100134,0,0,12/19/2009,44,44
100138,0,0,12/19/2009,45,45
100142,0,0,12/19/2009,46,46
100143,0,0,12/19/2009,47,47
100145,0,0,12/19/2009,48,48
100149,0,0,12/19/2009,49,49
100151,0,0,12/19/2009,50,50
100154,0,0,12/19/2009,51,51
100157,0,0,12/20/2009,52,52
100159,0,0,12/20/2009,53,53
100163,0,0,12/20/2009,54,54
100167,0,0,12/20/2009,55,55
100168,0,0,12/20/2009,56,56
100170,0,0,12/20/2009,57,57
100173,0,0,12/20/2009,58,58
100174,0,0,12/20/2009,59,59
100175,0,0,12/20/2009,60,60
100177,0,0,12/20/2009,61,61
100178,0,0,12/20/2009,62,62
100179,0,0,12/20/2009,63,63
100180,0,0,12/20/2009,64,64
100182,0,0,12/20/2009,65,65
100185,0,0,12/20/2009,66,66
100186,0,0,12/20/2009,67,67
100187,0,0,12/20/2009,68,68
100189,0,0,12/20/2009,69,69
100190,0,0,12/20/2009,70,70
100191,0,0,12/20/2009,71,71
100193,0,0,12/20/2009,72,72
100194,0,0,12/20/2009,73,73
100195,0,0,12/20/2009,74,74
100197,0,0,12/20/2009,75,75
100202,0,0,12/20/2009,76,76
100206,0,0,12/21/2009,77,77
100215,0,0,12/21/2009,78,78
100219,0,0,12/21/2009,80,79
100225,0,0,12/21/2009,81,80
100229,0,0,12/21/2009,82,81
100231,0,0,12/21/2009,83,82
100234,0,0,12/21/2009,84,83
100235,0,0,12/21/2009,85,84
100238,0,0,12/21/2009,86,85
100242,0,0,12/21/2009,87,86
100247,0,0,12/21/2009,88,87
100248,0,0,12/21/2009,89,88
100249,0,0,12/21/2009,90,89
100253,0,0,12/21/2009,91,90
100255,0,0,12/21/2009,92,91
100258,0,0,12/22/2009,93,92
100260,0,0,12/22/2009,94,93
100264,0,0,12/22/2009,95,94
100266,0,0,12/22/2009,96,95
100267,0,0,12/22/2009,97,96
100268,0,0,12/22/2009,98,97
100269,0,0,12/22/2009,99,98
100271,0,0,12/22/2009,100,99
100272,0,0,12/22/2009,101,100
100273,0,0,12/22/2009,102,101
100276,0,0,12/22/2009,103,102
100286,0,0,12/22/2009,105,103
100300,0,0,12/22/2009,106,104
100304,0,0,12/22/2009,107,105
100305,0,0,12/22/2009,108,106
100306,0,0,12/22/2009,109,107
100308,0,0,12/23/2009,110,108
100311,0,0,12/23/2009,111,109
100313,0,0,12/23/2009,112,110
100314,0,0,12/23/2009,113,111
100319,0,0,12/23/2009,114,112
100320,0,0,12/23/2009,115,113
100321,0,0,12/23/2009,116,114
100326,0,0,12/23/2009,117,115
100338,0,0,12/23/2009,119,116
100339,0,0,12/23/2009,120,117
100340,0,0,12/23/2009,121,118
100341,0,0,12/23/2009,122,119
100344,0,0,12/23/2009,123,120
100346,0,0,12/23/2009,124,121
100350,0,0,12/23/2009,125,122
100353,0,0,12/23/2009,126,123
100355,0,0,12/23/2009,127,124
100358,0,0,12/24/2009,128,125
100361,0,0,12/24/2009,129,126
100365,0,0,12/24/2009,131,127
100366,0,0,12/24/2009,132,128
100368,0,0,12/24/2009,133,129
100373,0,0,12/24/2009,134,130
100374,0,0,12/24/2009,135,131
100376,0,0,12/24/2009,136,132
100378,0,0,12/24/2009,137,133
100384,0,0,12/24/2009,139,134
100387,0,0,12/24/2009,140,135
100388,0,0,12/24/2009,141,136
100389,0,0,12/24/2009,142,137
100393,0,0,12/24/2009,143,138
100401,0,0,12/24/2009,144,139
100410,0,0,12/25/2009,146,140
100411,0,0,5/11/2009,147,141
100413,0,0,12/25/2009,148,142
100421,0,0,12/25/2009,149,143
100429,0,0,12/25/2009,150,144
100432,0,0,12/25/2009,151,145
100434,0,0,12/25/2009,152,146
100435,0,0,12/25/2009,153,147
100437,0,0,12/25/2009,154,148
100439,0,0,12/25/2009,155,149
100441,0,0,12/25/2009,156,150
100442,0,0,12/25/2009,157,151
100449,0,0,12/25/2009,158,152
100450,0,0,12/25/2009,159,153
100452,0,0,12/25/2009,160,154
100456,0,0,12/25/2009,161,155
100464,0,0,12/26/2009,162,156
100465,0,0,12/26/2009,163,157
100467,0,0,12/26/2009,164,158
100470,0,0,12/26/2009,165,159
100472,0,0,12/26/2009,166,160
100474,0,0,12/26/2009,167,161
100475,0,0,12/26/2009,168,162
100484,0,0,12/26/2009,169,163
100486,0,0,12/26/2009,170,164
100490,0,0,12/26/2009,171,165
100491,0,0,5/11/2009,172,166
100495,0,0,12/26/2009,173,167
100499,0,0,12/26/2009,174,168
