book_id,order_id,sales_price
100100433,36503059,3.6
100200126,36524438,2.5
100200137,36493441,0.9
100200138,36505325,2.5
100200139,36514389,2.5
100200144,36526465,2.5
100200145,36541203,2.5
100300392,36505084,0.9
100300393,36518297,0.9
100500234,36485222,0.9
100500340,36486267,0.9
100500341,36520721,0.9
100500342,36538618,0.9
100900210,36485084,0.9
100900211,36485084,0.9
100900218,36533710,0.9
101000055,36509989,3.5
101000056,36509989,3.5
101100667,36499961,0.9
101200217,36485706,0.9
101200218,36500473,0.9
110100050,36538679,0.9
110100264,36537761,0.9
110100265,36537771,0.9
110100296,36486507,0.9
110100297,36498350,0.9
110100298,36517591,0.9
110100299,36533482,0.9
110200420,36504395,2.7
110300344,36540590,0.9
110300344,36503101,0.9
110400234,36533312,0.9
110400235,36535753,0.9
110400236,36538495,0.9
110400239,36508801,1
110400239,36539583,0.9
110400240,36523597,1
110400240,36539583,0.9
110400240,36536164,1
110400240,36530437,1
110400240,36532533,1
110400240,36524120,1
110400240,36516795,1
110400240,36533787,1
110400241,36538262,0.9
110400241,36539583,0.9
110400241,36526560,0.9
110400241,36534944,0.9
110400241,36535352,0.9
110400242,36529013,0.9
110400242,36536453,0.9
110400242,36537209,0.9
110400242,36539583,0.9
110400243,36531441,0.9
110400243,36539583,0.9
110400244,36539583,0.9
110400245,36539583,0.9
110400246,36539583,0.9
110400362,36513173,3.5
110400586,36498809,0.9
110400586,36535215,0.9
110400587,36537110,0.9
110400587,36510247,0.9
110400587,36490486,0.9
110400587,36509817,0.9
110400588,36517909,0.9
110400588,36538293,0.9
110400679,36499781,0.9
110600103,36520178,1
110600104,36537220,1
110600104,36534648,1
110600104,36531255,1
110600104,36520178,1
110600104,36533357,1
110600104,36507979,1
110600104,36514621,1
110600104,36541330,1
110600104,36502671,1
110600104,36511908,1
110600104,36508533,1
110600104,36534035,1
110600105,36513760,0.9
110600105,36495497,0.9
110600105,36515806,0.9
110600105,36482999,0.9
110600105,36523673,0.9
110600106,36491378,0.9
110600106,36517120,0.9
110600106,36536289,0.9
110600106,36528255,0.9
110600106,36498616,0.9
110600107,36531249,0.9
110600107,36499954,0.9
110600107,36494867,0.9
110600107,36542400,0.9
110600107,36517120,0.9
110600108,36517120,0.9
110600108,36500499,0.9
110600108,36497106,0.9
110600108,36534119,0.9
110600297,36542267,1
110600297,36525784,1
110600297,36505706,1
110600297,36507726,1
110600297,36509940,1
110600297,36491300,1
110600297,36485331,1
110600298,36517132,0.9
110600299,36541004,0.9
110600300,36509171,0.9
110600382,36524488,1
110600382,36520607,1
110600383,36487647,1
110600383,36521475,1
110600383,36524488,1
110600383,36525112,1
110600383,36537595,1
110600383,36539721,1
110600383,36529353,1
110600433,36520424,1
